state,party,incumbent_count,challenger_count
AZ,D,882,1764
CA,R,3528,9996
LA,LIB,0,294
MI,Working Class,0,588
CA,D,11466,4704
WV,Mountain,0,294
AL,D,294,1764
OR,LIB,0,294
MO,LIB,0,1764
TX,R,5880,3528
LA,,0,882
PA,R,2058,2940
MI,US Taxpayers,0,882
NJ,,0,2352
CA,I,0,588
NC,LIB,0,1176
DE,R,0,294
AL,R,1764,0
CO,LIB,0,24
OH,LIB,0,1176
WI,R,1176,882
AR,D,0,1176
WI,D,882,1470
NE,D,0,882
NE,R,882,0
OK,D,0,1470
OR,,0,600
OH,GRE,0,588
OK,I,0,294
SC,AME,0,882
TN,IND,0,1470
IL,R,2058,3234
MS,R,588,294
OR,GRE,0,282
IA,LIB,0,294
MN,Legal Marijuana Now,0,294
MA,IND,0,588
AR,LIB,0,1176
AZ,G,0,588
IN,R,1470,1176
TX,IND,0,294
IL,GRE,0,294
KY,,0,294
WY,,0,294
FL,R,3528,2940
NH,,0,564
AK,R,294,0
MI,,0,1764
NV,,0,882
KS,R,882,294
MS,D,294,882
ND,IND,0,294
NY,WOF,294,0
WY,R,294,0
ID,,0,294
KY,D,294,1470
MS,REF,0,1176
ID,D,0,588
NJ,LIB,0,294
CT,,0,294
NJ,R,882,2646
VT,D,294,0
WV,R,588,294
NC,,0,294
ME,R,294,294
OR,D,1176,294
VT,,0,294
MA,R,0,1470
NV,D,294,882
OH,R,3234,1470
OK,R,1176,294
MD,,0,882
AK,D,0,294
MT,R,294,0
SD,R,0,294
MO,,0,588
KY,IND,0,588
MO,R,1764,588
OR,IPO,0,294
MI,R,2352,1470
MD,R,294,2058
WA,D,1764,1470
ME,,0,294
LA,I,0,588
KS,LIB,0,588
MN,R,882,1470
UT,LIB,0,294
NC,CON,0,294
PA,D,1470,3822
WI,DPD,0,294
NM,LIB,0,588
WA,L,0,294
MS,,0,294
MT,D,0,294
HI,D,294,294
MI,D,882,3234
NY,R,2646,3528
VT,R,0,294
WY,D,0,294
ND,R,0,294
NC,R,2646,1176
RI,D,588,0
TN,,0,882
WA,R,882,1470
IA,,0,882
MN,D,588,1764
NY,Reform Party,0,294
CT,R,0,1470
KS,D,0,1176
NV,R,294,882
SC,R,1176,882
WV,D,0,882
SD,,0,294
TN,D,588,2058
UT,D,0,1176
NM,R,0,882
SC,CON,0,294
HI,R,0,588
NC,D,882,2646
NY,G,0,294
MT,LIB,0,294
VA,D,1176,2058
SC,D,294,1764
AR,R,1176,0
NY,,0,1371
MD,LIB,0,1470
LA,D,294,3234
NM,D,294,588
PA,L,0,588
GA,D,1176,2646
CT,D,1176,294
IL,IND,0,294
OR,R,294,894
VA,LIB,0,588
CA,G,0,882
CO,L,0,12
ID,R,294,294
NH,D,294,294
IL,D,2940,2352
IN,LIB,0,294
SD,D,0,294
TN,R,1176,1470
MA,D,2058,588
ND,D,0,294
TX,,0,1470
CO,D,588,1470
TX,D,2646,7938
OH,D,1176,3528
NY,Women's Equality Party,0,12
CT,GRE,0,294
GA,R,2940,882
MD,D,1764,588
NH,LIB,0,24
NY,D,4704,3234
ME,D,294,294
NH,R,0,588
DE,D,294,0
IA,D,294,882
FL,NPA,0,588
UT,R,1176,0
CO,R,1176,882
CO,,0,1446
FL,,0,588
FL,D,3234,4704
MN,Independence Party,0,294
NY,REF,0,588
VA,R,1470,1470
AK,,0,282
ME,IND,0,294
NJ,D,2058,1470
WI,I,0,588
AZ,R,1176,1176
LA,R,1191,294
NJ,CON,0,294
IN,D,588,2058
TX,LIB,0,7056
VA,L,0,294
OK,,0,294
KY,R,1470,294
KY,LIB,0,294
NY,GRE,0,687
SC,GRE,0,294
IA,R,882,294
MO,D,588,1764
RI,R,0,588
UT,,0,588
HI,,0,294
